feature,importance
duration,0.43701732933391696
poutcome_success,0.06787950675592111
contact_unknown,0.05549103509382813
age,0.04779044420231386
balance,0.044203112093242486
pdays,0.04326940314006901
housing_yes,0.03719153124599559
day,0.033484736370567085
previous,0.02709101173765448
campaign,0.021354808602678618
poutcome_unknown,0.020354488871939122
month_may,0.02004707554394615
month_mar,0.016706517014127592
month_oct,0.012482178289051323
loan_yes,0.010396468177168033
month_jun,0.00808428505995979
month_aug,0.007820935787124183
month_jul,0.007717763898513863
marital_married,0.00685785819768263
marital_single,0.006851774092929742
job_student,0.006036531122804699
month_sep,0.005762270386712883
month_nov,0.005681700769421879
job_blue-collar,0.005479508004221804
month_feb,0.005475088687789658
education_tertiary,0.005256619590959527
education_secondary,0.0038423605626030587
job_retired,0.003743283754272583
month_jan,0.002923891207334164
job_technician,0.002894899530867394
job_management,0.0027770735888189013
contact_telephone,0.002768113216272003
poutcome_other,0.0023817590125704145
education_unknown,0.002179008132539727
job_services,0.0021293257087260657
month_dec,0.00158642910065321
job_entrepreneur,0.0015187115584725402
job_unemployed,0.001398807393297347
job_self-employed,0.0013327572432995428
job_housemaid,0.0012251930237813635
default_yes,0.000941393256933535
job_unknown,0.000573011639017964
